IDTEACH,TT3G01,TT3G07A,TT3G07D,TT3G07G,TT3G34B,TT3G34D,TT3G53E,TT3G53H
301301,1,3,3,3,3,3,3,2
301303,1,1,1,3,1,3,2,1
301305,1,2,2,2,3,1,3,3
301306,1,3,3,3,3,3,3,3
301308,1,2,3,3,3,3,3,1
301310,1,2,3,2, , , , 
301311,1,3,1,3,3,3,3,1
301312,2,2,2,2,3,3,2,1
301313,1,3,3,3,3,3,2,1
301314,2,2,3,3,3,3,3,3
301315,2,3,1,3,3,3,3,3
301319,1,3,2,2,3,2,2,1
301320,1,2,2,3,3,3,2,1
301401,1,3,2,3,3,2,3,2
301402,1,2,2,2,2,3,1,1
301403,1,3,1,3,3,3,2,1
301404,1,3,3,3,3,3,3,1
301405,2,1,1,3,2,2,3,2
301406,2,1,2,3,1,1,2,1
301407,1,1,1,3,1,2,3,1
301409,1,1,1,2,2,3,2,1
301410,1,1,2,3,2,2,2,1
301411,1,3,2,3,1,2,3,1
301412,1,1,2,3,3,2,2,1
301413,1,2,3,3,2,2,2,2
301415,1,3,3,3,3,3,3,2
301416,2,3,3,3,3,2,3,2
301417,2,3,3,2,3,1,3,2
301418,2,1,1,3,1,3,3,1
301419,2,1,1,3,3,3,2,1
301501,1, , , , , , , 
301502,1,3,3,3,2,2,2,2
301503,1,2,2,2, , , , 
301504,1,2,3,2,2,1,3,1
301505,1,2,3,3,2,2,2,2
301506,1,2,2,1,2,2,3,1
301507,1,3,3,3, ,3,2,1
301508,2,3,2,2,3,2,2,2
301509,1,2,2,3,1,3,2,1
301510,1,1,2,3,2,2,2,1
301512,2,2,1,2,2,1,2,1
301513,1, , , , , , , 
301515,1,3,1,3,3,3,2,2
301518,1,3,1,2,1,2,3,3
301519,1,2,1,3,2,3,2,2
301520,1,3,3,3,2,2,2,1
301601,1,1,1,1, , , , 
301602,1,1,1,3,3,3,3,1
301603,2,3,3,3,2,2,2,2
301604,1,3,3,3,3,3,3,2
301605,1,3,2,3,3,3,2,1
301607,1,1,1,3,2,1,3,1
301608,1,3,2,3,2,1,3,1
301610,1,3,3,3,3,3,3,1
301612,1,2,3,3,2,2,3,2
301613,2,1,3,3,1,1,3,1
301614,1,2,3,2,1,1,2,1
301616,1,2,3,3,3,3,3,1
301617, ,1,1,3,3,3, , 
301618,2,2,1,3,3,3,3,1
301703,1,3,1,2,2,3,2,1
301704,2,2,3,3,2,2,2,2
301705,1,1,2,3,2,3,2,1
301706,1,3,1,2,2,2,2,1
301707,1,3,3,1,2,3,2,1
301708,2,2,2,1,2,3,2,3
301709,1,3,3,3,1,2,3,1
301710,1,2,1,3,1,3,2,1
301711,1,2,3,1,1,2,2,1
301712,1,2,3,3,2,2,3,3
301713,1,1,1,2,2,2,3,1
301714,2,2,2,3,1,3,3,1
301715,2,2,2,2,3,3,3,2
301716,2,2,1,2,1,1,2,1
301717,1,2,3,3,2,2,3,2
301718,1,3,3,3,3,3,3,2
301721,2,2,3,3,2,1,3,2
301722,2,2,1,2,1,2,2,1
301723,2,1,3,3,3,1,2,1
301724,1,2,3,3,2,2,2,2
301801,1,3,3,3,1,1,3,1
301802,1,1,2,3,1,2,3,1
301803,2,3,3,3,3,3,2,1
301804,1,1,3,3,1,1,2,1
301805,1,3,1,1,3,3,3,1
301807,1,2,1,3,2,3,3,1
301808,1,3,2,2,1,3,2,1
301809,1,2,3,1,3,3,3,1
301810,2,1,3,3,3,2,2,1
301811,1,2,1,3,2,3,2,2
301812,1,2,2,2,3,2,3,1
301813,2,2,1,3,3,2,2,1
301814,1,2,2,3,2,3,2,2
301815,1,2,2,3,1,3,2,1
301816,1,2,2,2,2,1,2,1
301817,1,2,3,3,1,1,3,1
301818,2,3,3,3,2,2,2,1
301819,1,2,1,3,3,2,3,1
301820,2,2,2,3,2,2,2,1
301901,2,3,3,2,2,3,3,2
301902,1,2,2,2,1,3,2,1
301903,2,2,2,3,2,1,2,1
301904,1,2,1,3,2,2,2,1
301905,1,2,2,2,2,2, , 
301906,1,2,1,3,3,3,2,1
301907,1,2,3,2,2,3,2,1
301908,1,1,1,3,3,3,3,3
301909,2,3,3,1,1,2,3,1
301910,1,3,3,3,2,3,3,1
301911,1,3,2,3,2,3,3,1
301912,1,2,1,3,1,1,2,1
301913,2,2,3,2,2,3,2,2
301914,2,2,2,3,2,2,2,1
301915,1,2,3,3,3,3,1,1
301916,1,3,3,3,2,2,2,2
301917,1,3,3,2,2,3,1,1
301918,1,2,1,3,2,1,2,1
301919,1,3,1,3,1,2,2,1
301920,1,2,1,3,2,2,2,1
302001,1,3,3,1,3,1,3,1
302002,2,1,1,2,1,1,1,1
302003,1,2,3,3,2,2,3,1
302004,1,2,1,3,1,1,1,1
302005,1,2,1,2,1,2,2,1
302006,1,1,1,3,1,2,3,1
302007,1,3,3,3,2,3,2,1
302008,1,3,3,3,3,3,3,1
302009,1,2,3,1,1,2,2,1
302010,2,2,1,2,3,3,1,1
302011,1,2,2,2,2,2,2,1
302012,1,1,1,3,2,3,2,1
302014,1,3,1,3,2,1,1,2
302015,1,2,2,2,2,2,2,2
302016,1,3,2,3,2,2,2,1
302017,1,3,3,3,2,2,2,1
302018,1,2,2,2,1,2,3,1
302019,2,3,2,3,1,3,3,3
302020,1,1,3,3,1,2,1,1
302102,1,2,2,3,2,3,2,1
302103,1,1,1,1,1,1,1,1
302104,1,3,2,3,2,2,2,2
302105,2,2,2,3,2,2,2,1
302106,2,3,3,3,2,2,3,1
302107,2,3,3,3,3,2,3,1
302108,1,3,3,3,2,3,3,1
302109,1,3,3,3,2,2,2,1
302110,2,1,3,3,1,1,3,1
302112,2,1,3,3,3,3,2,2
302113,2,1,3,3,1,2,3,1
302114,1,2,3,3,2,2,3,1
