IDTEACH,TT3G01,TT3G07A,TT3G07D,TT3G07G,TT3G34B,TT3G34D,TT3G53E,TT3G53H
304907,2,2,1,3,1,3,2,1
304908,1,2,2,3,1,2,2,1
304909,1,3,3,3,3,2,3,1
304910,1,2,3,3,3,2,2,1
304911,2,3,2,2,1,2,2,2
304912,1,2,2,3,3,3,3,2
304913,2,3,1,1,1,2,3,1
304914,1,2,2,2,3,1,2,2
304915,1,2,2,3,3,3,3,3
304916,1,2,2,1,2,3,2,1
304917,1,1,2,3,2,2,2,1
304918,1,2,1,3,3,2,3,2
304919,1,2,1,3,3,2,2,1
304920,1,2,3,3, , , , 
305001,1,3,3,3,2,3,2,1
305002,2,3,3,2,1,1,2,1
305003,1,2,3,3,2,2,2,1
305004,1,3,3,3,3,3,3,1
305005,1,2,2,3,1,2,2,1
305006,2,2,2,3,1,2,2,1
305007,1,2,1,3,2,3,3,1
305008,1,1,1,3,1,2,2,1
305009,2,2,1,3,3,3,3,1
305010,1,1,2,3,3,1,2,1
305011,1,3,3,2,1,2,3,1
305012,2,1,1,3,2,3,1,1
305013,1,2,3,3,2,3,2,1
305014,1,2,1,3,3,2,3,1
305015,1,2,2,3,2,1,3,2
305016,2,2,2,2,2,3,3,1
305017,1,3,2,1,1,2,2,1
305018,1,2,2,3,2,2,2,1
305019,1,3,3,3,3,3,3,3
305020,2,1,2,2,1,1,2,1
305021,1,2,2,2,2,2,3,1
305022,1,2,1,3,2,2,3,1
305101,1,2,3,3,2,2,3,3
305102,1,3,3,3,2,1,2,1
305103,1,3,3,3,2,1,3,2
305104,1,2,2,3,3,3,3,1
305105,1,3,3,2,3,2,3,1
305106,1,2,3,3,2,2,3,2
305107,1,1,2,3,1,3,3,1
305108,1,2,1,3,2,3,2,1
305109,1,3,3,3,3,3,2,1
305110,1,3,3,3,2,2,2,1
305111,1,2,1,2,1,1,2,1
305112,2,3,3,3,2,3,3,1
305113,1,2,2,3,3,3,3,2
305114,1,2,3,3,1,3,3,1
305115,1,2,3,3,2,2,3,1
305116,2,3,3,3,3,3,3,3
305117,2,3,3,3,2,2,2,1
305201,1,2,1,3,2,3,3,2
305202,1,1,2,2,2,2,3,1
305203,1,3,3,3,2,3,3,2
305204,1,1,3,3,1,2,3,1
305205,1,2,3,2,1,2,3,1
305206,2,3,3,3,2,2,2,2
305207,2,3,2,3,2,3,3,2
305208,1,2,2,3,2,1,3,1
305301,1,3,3,3,3,3,1,3
305302,2,2,2,3,1,2,2,1
305303,1,1,3,3,3,3,3,1
305304,1,3,3,3,3,3,3,1
305306,1,2,1,3,3,3,3,2
305307,2,1,3,3,3,2,2,1
305308,1,3,2,3,3,3,1,1
305309,2,3,3,3,2,2,3,2
305310,1,3,3,2,3,2,2,1
305311,1,2,1,3,1,1,2,1
305312,1,3,3,3,3,1,1,1
305313,1,3,2,3,3,3,2,2
305314,1,3,3,3,2,1,2,3
305315,1,1,1,3,1,1,2,1
305316,1,3,3,3,1,1,1,1
305318,1,3,1,3,2,3,1,1
305319,1,1,3,3,3,3,1,1
305501,1,2,2,3,2,3,2,1
305502,1,2,2,3,3,3,3,2
305503,1,3,3,3,2,2,3,2
305504,1,3,3,3,2,2,2,2
305505,1,3,3,3,2,3,2,2
305506,2,2,2,2,1,1,2,1
305507,1,3,1,2,2,2,3,1
305508,1,3,1,3, , , , 
305510,1,2,1,3,2,2,3,2
305511,1,3,3,3,2,2,3,3
305512,1, , , , , , , 
305513,1,1,3,3,3,1,3,2
305514,1,3,2,3,2,2,3,2
305515,1,3,3,3,2,2,3,3
305516,2,3,2,3,3,3,3,2
305517,1,2,2,3,3,2,2,1
305518,1,3,2,3,2,3,2,1
305519,1,3,2,3,2,2,2,1
305520,1,3,2,3,2,2,3,1
305701,2,3,2,3,3,3,3,2
305702,1,2,2,2,2,2,2,1
305703,2,2,2,2,2,3,3,1
305704,2,2,2,3,2,1,3,2
305705,1,3,2,3,3,2,2,1
305706,2,2,1,3,2,2,3,2
305707,1,3,3,3,3,2,3,1
305708,1,2,1,3,2,2,2,2
305709,1,2,2,3,2,2,3,1
305710,1,2,3,2,3,1,3,1
305711,2,2,3,2,2,2,2,1
305801,1,3,3,3,3,3,3,1
305802,1,3,3,3,2,3,2,3
305803,1,3,3,3,3,3,2,1
305804,2,3,3,3,3,3,3,3
305805,1,2,2,3,3,2,3,3
305806,1,3,3,3,3,3,3,1
305807,1,3,3,3,2,2,3,3
305808,2,3,3,3,3,3,3,3
305809,2,1,3,1,2,2,3,2
305810,2,2,3,2,1,2,2,1
305811,2,3,3,3,3,3,3,1
305812,2,2,3,3,3,1,3,1
305813,1,3,3,3,2,2,2,1
305814,1,2,2,2,1,3,2,1
305815,1,2,2,3,3,3,3,2
305816,1,3,2,3,2,3,3,3
305817,1,3,3,3,3,3,3,2
305818,1,3,3,3,3,3,2,1
305819,2,2,1,3,1,2,3,2
305820,1,2,2,3,2,2,1,1
305901,1,3,1,3,3,2,3,1
305902,1,1,1,3,3,3,3,3
306001,1,3,3,3,3,3,2,2
306002,1,3,2,3,1,3,1,1
306003,2,2,1,3,2,3,2,1
306005,2,2,3,2,1,2,2,1
306007,2, , , , , , , 
306008,1,2,1,2,2,2,2,1
306009,1,2,1,3,2,2,2,2
306010,1,1,3,3,2,2, , 
306011,2,2,2,1,1,3,2,2
306012,1,3,1,3,2,2,2,1
306013,1,3,3,2,1,2,1,1
306015,1, , , , , , , 
306016,1,2,2,3,2,3,3,1
306018,1,2,1,3, , , , 
306101,1,2,2,3,2,1,3,1
306102,1,3,3,3,2,3,3,1
306103,2,1,3,3,2,1,2,1
306104,1,2,2,3,3,3,3,1
306105,1,2,3,2,2,2,2,1
306106,1,3,3,2,3,2,3,1
306107,1,2,2,2,2,2,3,1
306108,2,2,1,2,2,2,3,1
306109,1,2,2,3,1,3,2,1
306110,1, , , , , , , 
306111,1,2,3,3,3,2,2,1
306112,2,3,3,2,1,1,2,1
306113,2,3,3,3,1,2,3,3
306114,1,2,2,3,2,1,3,1
306115,1,1,2,3,3,3,3,2
306116,1,3,2,3,2,2,3,1
306117,1,2,2,3,2,2,1,1
306118,2,2,3,3, , , , 
306119,1,1,1,3,3,3,3,2
306120,2,1,1,1,3,3,3,3
306201,1,2,2,3,1,2,2,2
306202,1,2,2,3,2,3,3,1
306203,1,3,1,3,3,3,3,3
306204,1,2,3,3,1,2,2,1
306205,1,2,2,3,2,1,2,1
306206,2,3,1,3,2,2,3,3
306207,1,2,3,3,1,1,2,2
306208,2,2,1,3,2,2,2,1
306209,1,2,1,3,2,2,2,1
306210,2,3,2,1,2,2,3,1
306211,2,2,1,3,3,3,1,1
306212,2,2,2,3,1,3,2,1
306213,2,2,2,3,1,2,3,2
306214,2,2,3,3,3,1,2,1
306215,2,1,1,2,1,3,2,1
306216,2,2,2,3,1,3,2,3
306217,2,1,1,3,2,2,2,1
306218,1,1,1,3,3,3,2,1
306219,2,2,3,3,1,3,2,1
306220,1,3,3,3,2,3,3,1
306301,1,3,3,3,1,2,2,1
306302,1,3,3,1, , , , 
306304,1,2,2,3,2,2,3,1
306305,2,3,3,3,2,2,1,1
306306,1,3,3,2,3,3,3,1
306307,1,2,1,2,2,2,2,1
306308,1,1,1,3, , , , 
306309,2,2,2,3,1,2,2,1
306310,1, ,3,3,3,2,3,2
306311,2,3,2,2,2,2,2,2
306313,1,2,2,3,3,3,3,2
306314,1,1,1,3,3,3,2,3
306315,1,3,3,3,2,3,2,1
306316,2,1,2,2,2,2,2,1
306317,2,1,2,3,3,1,3,1
306319,2,3,3,3,2,3,2,1
306401,2,3,1,1,1,3,3,1
306402,2,2,1,3,2,3,2,1
306403,1,3,3,3,2,2, , 
306404,2,3,2,3,1,2,2,2
306405,2,2,2,3,2,3,3,1
306406,2,3,2,3,2,2,2,3
306408,2,1,1,3,2,3,3,1
306409,2,3,2,3,2,3,2,1
306410,1,3,3,3,2,3,3,1
306411,1,2,1,3,2,3,3,1
306412,1,2,2,3,1,2,3,1
306501,1,2,3,3,2,2,2,2
306502,2,3,2,3,1,1,1,1
306503,1,3,2,3,2,1,3,1
306504,1,2,2,3,2,2,2,2
306505,2,2,2,3,1,1,2,3
306506,1,2,2,3,2,2,2,2
306507,2,3,3,3,3,3,3,2
306508,1,1,3,3,2,2,3,3
306509,2,2,2,2,2,2,2,2
306510,1,3,3,3,3,3,2,1
306511,1,3,3,3,2,2,3,1
306512,2,2,2,3,3,2,2,2
306513,1,3,2,2,2,2,2,2
306514,1,3,3,3,1,2,2,1
306515, ,2,2,3,1,2,2,1
306517,1,1,3,3, , , , 
306518,1,3,3,3,2,2,2,2
306519,1,3,3,3,1,2,2,2
306520,2,2,3,3,2,3,2,1
306601,2,2,3,3,1,2,2,1
306602,2,2,3,3,3,1,3,2
306603,1,1,2,3,3,3,2,1
306604,1,2,3,3,2,2,3,1
306605,1,2,2,2,2,2,2,2
306606,1,2,1,3,2,2,2,1
306607,2,2,2,3,2,2,2,1
306608,2,3,1,3,1,1,2,1
306610,2,3,1,2,3,3,2,1
306611,1,1,1,3,2,3,2,1
306612,1, , , , , , , 
306613,1,3,3,3,3,3,3,1
306614,1,1,1,3,3,3,3,1
306615,1,1,2,3,2,1,2,1
306617,1,1,1,3,1,2,2,1
306619,2,3,1,2,2,1,2,2
306620,2,2,2,2,1,1,2,1
306702,1,2,3,2,3,3,2,3
306703,1,3,3,2,2,1,2,1
306704,1,2,2,3,2,3,2,1
306705,1,3,2,3,3,3,2,2
306706,1,3,3,3, , , , 
306707,2,3,3,3,1,1,1,1
306708,1,2,2,3,2,3,1,1
306709,1,2,2,3,2,3,2,1
306710,1,3,3,3,3,2,3,1
306711,1,1,1,3,3,3,3,1
306712,2,2,2,3,2,3,1,1
306713,1,3,2,3,3,3,3,2
306714,2,3,1,3,1,2,2,1
306717,2,3,3,3,2,1,1,1
306718,1,2,3,3,1,2,1,1
306719,1,2,3,3,2,2,2,1
306720,1,1,2,3,3,1,1,1
306801,2,1,1,3,2,3,2,1
306802,2,2,3,2,2,2,2,1
306803,2,3,3,3,2,2,3,1
306804,1,1,1,3,2,2,2,1
306805,1,2,1,3,2,2,3,1
306806,2,3,2,3,3,3,3,2
306807,1,1,2,3,1,1,2,1
306808,1,2,3,3,3,3,1,1
306809,1,2,3,3,3,3,2,3
306810,1,3,3,1,1,2,1,1
306811,1,3,2,3,2,2,3,1
306812,1,2,2,3,3,3,3,1
306813,1,1,1,3,3,2,3,1
306815,1,2,1,3,1,2,3,1
306816,1,3,3,3,2,2,2,1
306817,1,1,1,3,2,2,2,2
306818,1,1,3,3,2,2,2,2
306819,1,2,2,3,3,3,3,1
306820,2,2,2,2,2,2,2,2
306901,2,3,2,3,2,3,3,2
306902,1,3,3,3,2,2,2,1
306903,2,3,3,3,3,3,3,3
306905,1,1,1,3,1,2,3,1
306910,1,2,1,3,3,3,3,1
306911,1,2,1,3,3,3,2,2
306912,2,3,3,3,3,2,3,3
306913,2,3,3,3,3,2,3,1
306914,1,2,3,3, , , , 
306916,1,3,3,3,2,2,3,1
306917,1,2,2,2,3,3,1,1
306918,1,3,3,1,3,3,3,1
306920,2,3,2,2,2,2,2,2
307001,1,3,2,2,2,1,3,1
307002,1,3,3,3,2,2,3,1
307003,1,2,1,3,2,2,2,1
307004,2,1,1,1,2,3,3,2
307005,1,3,3,3,2,2,2,1
307006,1,3,3,2,2,2,2,1
307007,1,3,3,3,3,3,3,1
307008,2,3,3,3,3,3,2,2
307010,1,3,3,3,3,3,3,1
307011,1,1,1,3,1,1,1,1
307012,1,1,3,3, , , , 
307013,1,1,2,3,2,2,3,2
307014,2,2,3,2,1,1,1,2
307015,1,1,1,3,2,2,2,1
307016,1,1,1,3,2,2,2,1
307017,1,2,3,3,2,2,2,1
307018,1,3,2,3,2,3,3,1
307019,2,1,1,3,3,3,2,2
307020,1,2,2,3,3,3,3,2
307201,1,2,3,3,2,2,3,1
307202,2,2,2,2,1,3,2,1
307203,1,3,3,3,2,2,2,2
307204,2,3,2,3,2,2,3,3
307205,1,3,3,3,3,3,3,2
307207,1,2,2,2,2,3,3,2
307208,2,1,1,2,2,2,3,3
307209,1,3,3,2,2,3,3,1
307210,1,3,1,3,2,3,2,1
307211,1,2,2,3,1,2,3,1
307212,1,2,3,1,2,3,3,3
307213,1,1,2,3,2, , , 
307214,2,3,3,2,2,2,3,2
307215,1, , , , , , , 
307216,2,1,1,3,2,2,2,2
307217,2,3,1,1,1,3,1,1
307218,1,3,3,3,3,3,3,3
307219,1,3,3,3,2,1,2,2
307220,1,3,3,3,3,2,3,2
307302,1,3,3,3,1,1,1,1
307304,1,3,3,3, , , , 
307305,1,3,2,2,2,2,1,1
307306,1,3,3,3,2,3,2,2
307307,1,3,3,3,3,3,2,1
307308,1,2,3,2,2,2,1,1
307309,1,3,3,3,1,3,2,1
307310,2,2,1,3,1,2,1,2
307311,2,2,1,3, , , , 
307312,2,3,3,1,2,2,1,1
307313,1,3,3,3,1,2,1,2
307314,1,1,1,3,1,1,2,1
307315,2,3,1,3,3,3,2,2
307316,1,3,2,2,2,3,2,1
307317,1,3,3,3,1,2,1,2
307318,1,3,2,2,2,2, ,1
307319,1,2,1,2,1,2,2,1
307320,1,2,1,3,3,3,2,1
307321,1,2,1,3,2,1,2,1
307322,2,2,1,3,2,2,2,1
307323,1,2,1,3, , , , 
307401,1,1,1,3,2,2,2,2
307402,1,3,1,2,1,2,2,1
307403,1,3,3,3,1,2,2,2
307404,1,3,3,3,2,2,2,1
307405,2,1,1,3,3,1,2,1
307406,1,3,3,3,2,3,2,1
307407,1,3,3,3,3,3,2,1
307408,1,2,1,3,3,3,2,2
307409,1, , , , , , , 
307410,2,2,3,2,2,3,2,1
307411,1,2,2,2,3,3,1,1
307412,1,2,1,3,3,3,3,1
307413,1,2,2,3,3,2,2,2
307414,1,2,2,3,3,3,2,1
307415,1,2,2,2,1,2,2,2
307416,1,2,3,3,1,2,2,1
307417,2,3,3,2,1,1,2,1
307418,1,2,1,3,2,2,1,1
307419,1,3,3,3,2,2,2,1
307420,1,2,2,3,2,3,2,1
307501,1,2,1,3,1,2, ,1
307502,2,2,1,3,1,3,2,1
307503,1,3,2,2,1,3,2,1
307504,2,1,1,3,3,2,3,2
307505,2,3,3,2,2,3,2,2
307506,1,1,1,3,1,2,3,1
307507,1,2,1,3,1,3,2,2
307508,2,2,1,2,2,2,2,1
307509,1, , , , , , , 
307510,2,2,1,3,3,3,3,2
307511,1,3,2,3,2,3,3,1
307512,1,3,2,3,1,2,1,1
307513,1,3,3,3,3,2,2,1
307514,2,2,2,3,3,2,3,1
307515,1,2,1,3,1,3,3,1
307516,1,3,3,3,1,2,2,1
307517,1,2,2,3,2,3,3,1
307518,1,1,2,3,2,2,2,1
307519,1,1,3,3,1,3,2,1
307520,1,3,2,2,1,2,2,1
307601,1,2,3,3,2,3,2,1
307604,1,3,2,3,3,2,3,1
307605,1,2,3,3,3,3,2,1
307607,2,2,1,2,3,2,2,1
307608,2,1,3,3,2,2,3,1
307701,1,3,2,2,1,1,2,1
307702,2,2,2,2,3,3,2,2
307703,1,3,3,3,3,2,2,1
307704,1,2,2,3,2,2,2,1
307705,1,2,2,3,2,3,2,1
307706,1,3,3,3,2,3,3,1
307707,2,3,2,3,2,2,3,2
307708,1,2,3,2,3,2,2,1
307709,1,1,1,3,3,2,3,2
307710,2,3,2,2,1,2,1,1
307711,1,3,1,3,1,2,3,1
307712,1,3,3,3,2,1,2,1
307713,1,3,3,3,3,3,3,2
307714,1,3,3,3,2,2,2,2
307801,1,2,3,2,1,2,2,2
307802,1,3,3,3,2,2,3,3
307803,1,3,3,3,2,3,3,2
307804,1,3,3,3,3,3,3,2
307805,1,3,2,3,3,3,3,1
307806,1,2,1,3,2,1,2,1
307807,1,2,2,3,2,1,3,2
307808,2,2,3,3,1,2,3,1
307809,1,2,1,3,2,2,2,2
307810,1,2,3,3,1,1,1,1
307811,2,3,2,3,3,3,2,1
307812,1,2,1,2,3,1,3,1
307813,2,1,1,3,2,3, ,1
307814,1,2,2,3,3,2,2,2
307815,2,2,1,3,2,3,2,1
307816,1,2,3,2,2,2,2,1
307817,2,3,3,2,1,2,3,1
307818,2,2,2,3,1,3,3,3
307819,2, , , , , , , 
307820,2,3,2,3,3,3,2,1
307901,1,1,2,3,1,1,3,1
307902,2,1,2,3,3,1,2,1
307904,1,3,3,2,2,2,2,2
307905,1,3,2,3,3,3,2,2
307906,1,2,3,3,2,3,2,2
307907,1,3,1,3,2,2,3,2
307908,1,3,3,3,2,2,3,2
308002,1,2,2,3,2,2,2,1
308004,1,3,3,3,2,2,3,1
308005,2,3,3,3,2,2,3,1
308006,1,3,3,3,1,2,2,2
308008,2,2,1,3,3,3, , 
308009,1,3,3,2,3,3,2,1
308010,1,3,3,3,2,3,2,1
308012,1, , , , , , , 
308013,1,1,1,3,2,3,3,2
308014,1,3,1,3,2,2,3,1
308015,1,2,3,2,3,2,3,2
308016,2,3,1,3,3,3,3,1
308017,2,3,2,3,3,3,3,1
308018,1,1,1,3,2,2,3,2
308019,2,3,2,2,3,2,3,2
308101, ,3,3,3,3,3,3,1
308102,1, , , , , , , 
308103,2,3,2,3,1,2,2,1
308104,1,1,1,2,2,1,2,1
308106,2,3,2,3,2,3,2,1
308107,2,3,2,3,1,3,1,1
308108,1,3,3,3,3,3,3,2
308109,1,3,2,2,2,2,3,1
308110,1,3,1,2,2,2,2,1
308111,1,2,3,3, , , , 
308112,1,1,2,3,2,3,3,1
308113,1,3,3,3,3,1,3,1
308114,2,3,1,3,1,3,2,2
308115,1,3,3,2,1,3,3,1
308116,2,2,2,3,3,3,2,1
308117,2,3,3,2,1,1,1,1
308201,2,2,1,2,2,2,2,1
308202,1,3,3,3,3,3,3,3
308203,2,2,1,3,2,2,2,1
308204,1,2,2,2,2,3,2,1
308205,2,1,2,3,1,1,2,1
308206,1,3,3,2,2,1,2,1
308207,2,1,1,2,2,3,3,1
308301,1,3,2,2,1,3,3,2
308303,2,2,1,2,2,1,2,1
308304,2,2,1,2,1,1,3,1
308305,1,2,3,2,3,3,3,3
308307,1,3,3,3,1,2,2,1
308308,2,2,1,3,1,2,2,2
308309,2,3,3,3,2,2,2,1
308310,2,2,1,2,2,1,3,1
308311,2,2,1,3,3,2,3,1
308312,1,2,3,2,3,3,2,1
308313,1,2,2,2,2,2,3,1
308314,1,3,3,3,3,2,2,1
308315,2,3,2,3,3,2,2,1
308316,1,2,1,3,2,2,2,2
308318,1,2,2,3,1,1,2,1
308319,1,3,3,2, , , , 
308320,1,3,3,2,3,1,3,1
308401,1,3,1,3,1,2,2,2
308402,1,2,2,3,1,2,2,1
308403,1,2,2,3,2,1,1,2
308404,1,2,2,2,2,2,2,1
308405,1,3,3,3,1,3,3,2
308406,2,2,2,2,3,3,2,1
308407,2,2,2,3,2,1,2,1
308408,2,3,3,3,2,1,2,1
308409,1,2,2,3,2,2,2,1
308410,1,2,1,3,1,2,2,1
308411,1,2,2,3,2,3,2,1
308412,2,2,2,3,1,3,2,1
308413,2,2,3,2,2,2,2,1
308414,1,2,3,2,2,2,2,1
308415,1,3,2,3,3,3,3,1
308416,2,3,3,3,3,1,2,2
308418,2,3,3,3,1,3,2,1
308419,1,1,1,3,2,2,3,1
308420,1,2,3,3,2,3,3,3
308501,2,2,2,3,1,1,3,2
308502,1,3,2,3,1,2,2,3
308503,1,1,2,3,1,1,2,1
308504,1,3,3,3,3,2,3,1
308505,1,2,1,3,3,3,2,1
308506,2,1,1,3,3,2,3,3
308507,1,2,2,3,1,3,3,1
308508,2,3,2,2,1,2,3,2
308509,1,3,3,1,1,3,2,2
308510,1,2,3,3,1,2,2,1
308511,1,3,2,2, , , , 
308512,2,2,2,3,2,3,3,2
308513,1,3,3,3,2,3,2,3
308514,2,1,3,3,2,2,2,1
308515,2,3,3,2,2,2,3,1
308516,1,2,2,2,2,2,2,1
308517,1,2,2,3,3,2,3,2
308518,1,2,2,2,3,2,2,1
308519,1,2,2,2,1,2,2,1
308520,2,1,2,1,1,1,2,2
308601,1,2,1,3,2,1,1,1
308602,2,1,2,3,1,3,3,2
308603,1,3,3,3,2,2,1,1
308606,1,2,2,2,2,1,2,2
308607,1,3,3,3,1,1,1,1
308608,1,3,3,3, , , , 
308609,1,1,2,3,3,3,2,1
308610,2,2,3,2,1,2,2,1
308611,1,1,3,2,2,2,2,1
308612,1,3,3,3,3,2,3,2
308613,1,3,3,3,1,2,2,1
308614,2,1,1,3,1,2,3,1
308615,1,3,3,3,2,3,2,1
308616,1,3,3,3,2,3,3,1
308617,1,2,2,2,1,3,3,2
308618,1,2,3,3, , , , 
308619,2,1,1,3,3,2,2,1
308620,2,3,3,2,2,2,3,3
308701,1,3,3,3,1,2,3,1
308702,1,1,1,3,2,2,2,1
308703,2,2,3,2,2,1,2,1
308704,1,3,1,1,1,3,2,1
308705,1,2,3,3,2,2,2,1
308706,2,3,1,3,2,3,3,1
308707,1,3,3,3,3,2,3,1
308708,1,1,1,3,3,2,3,1
308709,1,2,3,3,2,2,2,2
308710,1,3,3,3,1,1,2,2
308711,2,3,3,2,2,3,2,1
308712,1,2,1,2,3,3,2,1
308713,1,3,3,3,1,3,3,2
308714,2,3,2,1,2,2,3,1
308715,1,2,2,1,2,1,2,1
308716,1,3,3,2,3,2,3,1
308717,1,3,2,2,2,3,2,1
308718,1,2,1,2,3,2,2,1
308719,2,2,2,3,2,2,3,1
308720,2,2,2,2,1,3,3,1
308801,2,3,3,2,2,1,2,1
308802,1,3,3,3,2,2,2,1
308803,2,2,2,3,2,1,2,1
308804,2,2,1,1,2,3,2,1
308805,1,1,3,3,1,1,2,1
308806,1,1,1,2,2,2,2,1
308807,2,3,3,3,2,2,2,2
308901,1,3,2,2,2,3,2,1
308902,1,3,3,3, , , , 
308904,2,3,3,3,3,3,3,1
308905,1,3,3,3, , , , 
308906,1,2,2,2,3,3,3,2
308907,1,2,1,3,1,1,2,2
308909,2,3,2,3,3,1,3,3
308912,1,3,3,3,3,2,3,2
308913,2,2,1,2,2,3,3,1
308914,1,2,1,3,3,1,2,1
308915,2,3,3,3,3,2, , 
308918,1,2,3,3,2,2,1,2
308919,1,1,1,2,3,2,3,1
308920,1,3,1,3,3,3,3,1
309001,1,2,3,3,3,3,3,3
309002,1,2,3,3,2,2,2,2
309003,1,2,3,3,1,1,2,2
309004,1,1,1,2,1,1,3,1
309005,2,3,1,1,3,1,2,1
309006,1,2,2,2,1,2,2,2
309007,1,3,3,3,3,1,2,1
309008,1,2,3,3,1,1,2,1
309009,2,3,3,3,1,3,3,1
309010,2,3,3,3,2,1,3,1
309011,2,3,3,2,3,3,3,1
309012,1,3,2,2,3,2,2,1
309013,1,3,3,3,2,2,3,1
309014,1,1,3,3,3,2,3,1
309015,1,3,3,3,3,3,2,1
309016,1,3,3,3,3,3,3,3
309017,1,2,2,3,3,2,1,1
309018,2,3,3,3,3,2,3,3
309019,2,3,3,3,1,3,3,1
309020,2,2,2,3,2,3,3,1
309201,1,2,2,3,1,1,2,1
309202,1,1,1,3,2,3,1,1
309204,2,2,3,2,1,1,2,1
309205,1, , , , , , , 
309206,2,2,2,2,2,2,2,2
309207,2,1,1,3,1,2,2,1
309208,1,2,2,3,2,3,2,2
309209,1,3,3,3,2,3,1,1
309210,1,3,3,3,1,2,2,2
309211,1,2,3,3,2,3,3,1
309212,2,2,2,2,3,3,3,2
309213,1, , , , , , , 
309215,1,2,1,3,2,2,2,1
309216,2, , , , , , , 
309217,2,2,3,2,2,2,2,1
309219,1,2,3,3,2,3,3,1
309301,1,2,2,3,1,2,3,1
309302,1,3,3,3,2,2,3,1
309303,1,3,3,3,1,3,3,1
309304,2,2,2,2,3,3,2,3
309305,1,2,1,3,2,1,3,3
309306,1,1,3,1,3,3, , 
309307,2,3,2,3,2,3,3,2
309308,2,2,2,3,3,1,2,2
309309,1,3,3,3,1,1,1,1
309310,2,3,2,3,1,3,2,1
309311,2,2,2,2,3,3,3,1
309312,2,1,1,3,2,1,1,1
309313,1,2,2,2,2,1,2,1
309314,1,3,3,3,3,3,2,2
309315,1,1,1,3,2,3,2,1
309316,1,3,3,3,3,2,3,1
309317,1,1,1,3,2,2,3,1
309318,1,3,3,3,2,2,2,1
309319,2,3,1,2,1,2,2,1
309320,1,3,1,2,1,2, , 
309401,1,2,3,3,3,3,3,3
309402,2,1,1,2,1,2,2,2
309403,1,2,1,2,3,3,2,2
309404,2,2,1,2,2,2,2,1
309405,2,3,3,3, , ,2,1
309406,2,3,3,3,2,2,3,2
309407,1,2,2,3,2,2,2,2
309408,2,3, ,2,2,2,3,2
309409,2,3,2,3,3,3,1,1
309410,1,2,2,3,2,2,2,1
309411,1,3,2,3,2,3,2,1
309412,1,3,3,3,2,2,3,2
309414,2,1,2,2,2,2,2,1
309415,1,2,1,3,2,2,2,2
309416,1,3,1,3,2,2,2,1
309417,2,2,2,3,3,1,2,2
309418,2,3,2,3,3,3,3,1
309419,2,2,2,3, , , , 
309420,1,2,1,3,1,1,2,1
309502, ,3,3,2,2,3, , 
309503,1,1,2,3,3,2,3,1
309504,1,2,2,2,2,3,2,1
309505,1,3,3,2,1,3, , 
309507,1,2,1,3,3,2,3,1
309508,2,2,2,3,3,3,3,1
309509,1,2,1,3,2,2, , 
309510,1,1,2,3,1,2,3,1
309511,2,3,3,3,3,2,3,2
309512,1,2,2,3,3,2,2,1
309513,1,3,3,3,3,2,3,1
309514,2,1,2,3,2,3,3,2
309515,1,1,2,1, , , , 
309516,1,2,3,3,2,1,2,1
309517,2,2,1,2,2,2,3,1
309518,1,3,2,3,3,2,3,1
309519,1,1,1,3,2,3,1,1
309520,2,2,2,3,2,3,3,2
309601,2,2,1,3,3,3,3,2
309602,1,3,3,3,3,3,1,3
309603,1,3,3,3,1,1,1,1
309604,1,1,2,3,1,1,1,3
309605,1,2,2,2,2,2, , 
309606,1,3,3,3,3,3,2,1
309607,1,3,3,3,1,3,1,1
309608,1,2,2,2,2,1,2,1
309610,1,2,2,2,3,3,2,2
309611,1,1,3,2,3,2,2,1
309612,2,3,3,3,3,3,2,2
309613,1,2,2,3,1,1,1,1
309614,2,3,2,3,2,1,2,2
309615,1,3,3,3,3,3,1,1
309616,1,2,2,2,1,1,1,1
309617,2,3,2,3,2,2,1,1
309618,2,3,3,3,1,1,1,1
309619,2,3,3,3,2,3,2,1
309801,2,3,3,2,1,2, , 
309802,2,2,2,2,3,2,3,3
309803,2,3,2,3,3,3,3,1
309804,1,2,2,2,1,2,2,1
309805,1,2,1,3,3,3,2,1
309806,2,2,2,3,2,2,2,2
309807,1,2,3,3,2,1,2,1
309808,1,3,3,2,3,3,2,1
309809,1,2,3,3,1,3,2,1
309810,1,1,2,1,2,1,3,2
309811,1,3,2,1,2,2,1,1
309901,2,3,3,3,2,1,3,1
309904,1,2,2,2,2,2,2,1
309906,2,3,1,3,3,3,3,2
309908,2,2,1,3,2,3,2,1
309911,2,3,1,3,1,3,3,3
309912,1,1,2,3,2,1,3,2
309913,2,3,2,3,3,3,2,1
309914,1,1,1,3, , , , 
309915,1,1,1,3, , ,2,1
309916,1,3,3,3,3,3,3,1
309917,1,2,2,2,3,3,1,1
309918,1,3,3,3,3,2,3,1
309919,2,3,1,1,2,3,3,2
309920,1,3,3,3, , , , 
310001,2,2,2,1,3,2,2,1
310002,1,3,3,3,2,2,2,2
310003,1,2,3,3,1,2,2,1
310004,2,3,2,3,2,3,2,1
310005,2,2,1,2,3,3,3,2
310006,2,2,3,3,2,2,3,1
310007,2,3,1,3,2,1,2,1
310008,2,2,1,3,2,2,2,1
310009,1,3,2,3,1,1,3,1
310010,1,2,1,2,2,1,2,1
310011,1,3,3,3,1,1,2,1
310012,2,2,3,3,2,2,2,1
